排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
117,DJ-奥古斯丁,魔术,10.50,3.20-8.10,39.9%,1.20-3.50,34.8%,2.80-3.20,89%,57,24.90
117,丹纽尔-豪斯,火箭,10.50,3.60-8.60,42.7%,2.00-5.60,36.3%,1.20-1.40,81.1%,63,30.40
120,加里-哈里斯,掘金,10.40,3.90-9.30,42%,1.20-3.80,33.3%,1.30-1.60,81.5%,56,31.80
120,特洛伊-布朗,奇才,10.40,4.00-9.00,43.9%,0.90-2.60,34.1%,1.60-2.00,78.4%,69,25.80
122,兰斯顿-加洛韦,活塞,10.30,3.60-8.20,43.5%,2.00-5.00,39.9%,1.10-1.30,85.9%,66,25.80
122,赛迪斯-杨,公牛,10.30,4.20-9.40,44.8%,1.20-3.50,35.6%,0.70-1.10,58.3%,64,24.90
122,马利克-蒙克,黄蜂,10.30,3.90-8.90,43.4%,1.00-3.70,28.4%,1.50-1.80,82%,55,21.30
122,加莱特-坦普尔,篮网,10.30,3.60-9.50,37.8%,2.00-6.20,32.9%,1.10-1.40,80.5%,62,27.90
122,道格-麦克德莫特,步行者,10.30,3.90-7.90,48.8%,1.90-4.30,43.5%,0.70-0.80,82.8%,69,19.90
127,本-麦克勒摩,火箭,10.10,3.40-7.70,44.4%,2.50-6.40,40%,0.70-0.90,74.6%,71,22.80
127,约什-哈特,鹈鹕,10.10,3.50-8.20,42.3%,1.90-5.40,34.2%,1.30-1.80,73.9%,65,27.00
127,博比-波蒂斯,尼克斯,10.10,4.00-8.90,45%,1.00-2.80,35.8%,1.10-1.40,76.3%,66,21.10
127,小拉里-南斯,骑士,10.10,4.10-7.70,53.1%,1.00-2.80,35.2%,0.90-1.30,67.6%,56,26.30
131,小凯文-波特,骑士,10.00,3.70-8.40,44.2%,1.10-3.20,33.5%,1.50-2.00,72.3%,50,23.20
132,托马什-萨托兰斯基,公牛,9.90,3.60-8.50,43%,1.00-3.10,32.2%,1.60-1.90,87.6%,65,28.90
133,乔-英格尔斯,爵士,9.80,3.40-7.70,44.5%,2.00-4.90,39.9%,1.00-1.30,78.7%,72,29.70
133,富尔坎-科尔克马兹,76人,9.80,3.40-7.80,43%,2.00-4.90,40.2%,1.10-1.40,75.5%,72,21.70
135,米切尔-罗宾逊,尼克斯,9.70,4.20-5.60,74.2%,0.00-0.00,0%,1.40-2.40,56.8%,61,23.10
136,多里安-芬尼-史密斯,独行侠,9.50,3.40-7.30,46.6%,1.60-4.30,37.6%,1.10-1.50,72.2%,71,29.90
136,阿龙-霍勒迪,步行者,9.50,3.50-8.50,41.4%,1.30-3.30,39.4%,1.10-1.30,85.1%,66,24.50
138,乔治-希尔,雄鹿,9.40,3.30-6.40,51.6%,1.40-3.00,46%,1.40-1.70,84.2%,59,21.50
139,小迈克尔-波特,掘金,9.30,3.50-7.00,50.9%,1.10-2.70,42.2%,1.10-1.30,83.3%,55,16.40
139,马基斯-克里斯,勇士,9.30,3.60-6.50,54.5%,0.10-0.70,20.5%,2.00-2.60,76.9%,59,20.30
139,兰德里-沙梅特,快船,9.30,3.00-7.40,40.4%,2.10-5.60,37.5%,1.20-1.40,85.5%,53,27.40
139,肯塔维厄斯-考德威尔-波普,湖人,9.30,3.40-7.30,46.7%,1.30-3.50,38.5%,1.10-1.50,77.5%,69,25.50
143,丹尼尔-泰斯,凯尔特人,9.20,3.70-6.60,56.6%,0.50-1.50,33.3%,1.30-1.80,76.3%,65,24.10
143,贾勒特-卡尔弗,森林狼,9.20,3.60-9.00,40.4%,1.00-3.50,29.9%,0.90-1.90,46.2%,63,23.90
143,唐特-迪温琴佐,雄鹿,9.20,3.50-7.70,45.5%,1.30-3.70,33.6%,0.90-1.30,73.3%,66,23.00
146,马克西-克勒贝尔,独行侠,9.10,3.20-6.90,46.1%,1.60-4.30,37.3%,1.10-1.30,84.9%,74,25.50
146,米卡尔-布里奇斯,太阳,9.10,3.40-6.60,51%,1.00-2.70,36.1%,1.40-1.70,84.4%,73,28.00
148,斯维亚托斯拉夫-米哈伊柳克,活塞,9.00,3.00-7.20,41%,2.00-5.10,40.4%,1.00-1.20,81.4%,56,22.60
148,德里克-费沃斯,鹈鹕,9.00,4.10-6.70,61.7%,0.00-0.10,14.3%,0.80-1.40,56.3%,51,24.40
148,蒙特-莫里斯,掘金,9.00,3.60-7.80,45.9%,0.90-2.40,37.8%,1.00-1.20,84.3%,73,22.40
