u_index,tag_id,weight
12.0,14.0,1.0
12.0,22.0,2.0
12.0,26.0,3.0
12.0,8.0,1.0
12.0,16.0,1.0
13.0,13.0,1.0
13.0,3.0,6.0
13.0,0.0,2.0
13.0,20.0,1.0
13.0,16.0,4.0
13.0,22.0,3.0
13.0,14.0,3.0
13.0,2.0,2.0
13.0,25.0,2.0
13.0,4.0,2.0
14.0,10.0,5.0
14.0,4.0,6.0
14.0,22.0,7.0
14.0,3.0,5.0
14.0,25.0,3.0
14.0,14.0,3.0
14.0,16.0,1.0
14.0,20.0,1.0
15.0,3.0,6.0
15.0,21.0,3.0
15.0,5.0,1.0
15.0,26.0,1.0
15.0,10.0,2.0
15.0,4.0,2.0
15.0,16.0,2.0
15.0,2.0,2.0
16.0,3.0,9.0
16.0,21.0,4.0
16.0,30.0,2.0
16.0,10.0,4.0
16.0,4.0,2.0
16.0,22.0,5.0
16.0,0.0,2.0
16.0,12.0,2.0
17.0,25.0,3.0
17.0,14.0,1.0
17.0,16.0,1.0
17.0,10.0,3.0
17.0,4.0,4.0
17.0,22.0,2.0
17.0,3.0,1.0
17.0,0.0,1.0
17.0,2.0,3.0
17.0,5.0,3.0
17.0,11.0,2.0
18.0,3.0,10.0
18.0,14.0,2.0
18.0,22.0,1.0
18.0,25.0,1.0
18.0,16.0,1.0
18.0,9.0,4.0
18.0,10.0,1.0
18.0,0.0,3.0
18.0,7.0,2.0
19.0,3.0,9.0
19.0,16.0,2.0
19.0,14.0,1.0
19.0,22.0,3.0
19.0,26.0,2.0
19.0,10.0,7.0
19.0,4.0,2.0
19.0,0.0,6.0
19.0,18.0,1.0
20.0,5.0,4.0
20.0,11.0,3.0
20.0,3.0,4.0
20.0,14.0,1.0
20.0,16.0,3.0
20.0,19.0,1.0
20.0,8.0,1.0
20.0,10.0,1.0
20.0,2.0,1.0
20.0,13.0,1.0
20.0,21.0,1.0
20.0,18.0,1.0
20.0,25.0,1.0
21.0,3.0,8.0
21.0,14.0,1.0
21.0,22.0,1.0
21.0,10.0,3.0
21.0,9.0,2.0
21.0,0.0,2.0
21.0,23.0,1.0
21.0,18.0,2.0
21.0,17.0,2.0
22.0,16.0,7.0
22.0,13.0,6.0
22.0,4.0,3.0
22.0,11.0,3.0
22.0,14.0,6.0
22.0,22.0,1.0
22.0,25.0,2.0
22.0,3.0,1.0
23.0,3.0,3.0
23.0,4.0,9.0
23.0,25.0,3.0
23.0,10.0,10.0
23.0,11.0,6.0
23.0,22.0,2.0
23.0,5.0,2.0
23.0,16.0,2.0
23.0,2.0,2.0
24.0,3.0,6.0
24.0,9.0,2.0
24.0,16.0,2.0
24.0,11.0,4.0
24.0,4.0,2.0
24.0,2.0,2.0
24.0,6.0,1.0
24.0,10.0,5.0
24.0,25.0,3.0
24.0,0.0,1.0
24.0,20.0,1.0
25.0,23.0,1.0
25.0,3.0,5.0
25.0,21.0,1.0
25.0,11.0,6.0
25.0,10.0,1.0
25.0,26.0,1.0
25.0,2.0,5.0
26.0,25.0,5.0
26.0,20.0,1.0
26.0,4.0,6.0
26.0,2.0,3.0
26.0,16.0,1.0
26.0,10.0,1.0
26.0,21.0,1.0
26.0,11.0,1.0
26.0,3.0,1.0
26.0,22.0,1.0
27.0,3.0,7.0
27.0,10.0,2.0
27.0,9.0,1.0
27.0,15.0,1.0
27.0,14.0,1.0
27.0,22.0,1.0
27.0,13.0,1.0
27.0,11.0,1.0
27.0,0.0,2.0
27.0,21.0,1.0
27.0,2.0,1.0
28.0,3.0,5.0
28.0,21.0,4.0
28.0,8.0,3.0
28.0,11.0,1.0
28.0,14.0,1.0
28.0,2.0,1.0
28.0,23.0,2.0
28.0,19.0,1.0
29.0,14.0,8.0
29.0,16.0,4.0
29.0,25.0,8.0
29.0,22.0,5.0
29.0,3.0,5.0
29.0,7.0,1.0
29.0,0.0,2.0
29.0,20.0,1.0
29.0,4.0,3.0
29.0,11.0,3.0
30.0,25.0,2.0
30.0,14.0,1.0
30.0,16.0,1.0
30.0,3.0,7.0
30.0,12.0,4.0
30.0,4.0,5.0
30.0,22.0,2.0
30.0,2.0,1.0
30.0,17.0,1.0
30.0,0.0,1.0
30.0,21.0,2.0
30.0,5.0,2.0
30.0,11.0,2.0
31.0,3.0,7.0
31.0,10.0,5.0
31.0,9.0,2.0
31.0,5.0,3.0
31.0,11.0,1.0
31.0,22.0,1.0
31.0,21.0,1.0
31.0,4.0,3.0
31.0,2.0,2.0
32.0,3.0,4.0
32.0,30.0,1.0
32.0,4.0,2.0
32.0,20.0,1.0
32.0,24.0,1.0
32.0,22.0,2.0
32.0,28.0,1.0
32.0,25.0,1.0
32.0,13.0,1.0
32.0,16.0,1.0
33.0,25.0,1.0
33.0,14.0,1.0
33.0,16.0,5.0
33.0,3.0,8.0
33.0,21.0,2.0
33.0,22.0,5.0
33.0,4.0,3.0
33.0,26.0,1.0
33.0,11.0,1.0
34.0,3.0,4.0
34.0,16.0,2.0
34.0,22.0,1.0
34.0,11.0,1.0
34.0,2.0,1.0
34.0,13.0,1.0
35.0,3.0,2.0
35.0,10.0,2.0
36.0,3.0,7.0
36.0,12.0,4.0
36.0,22.0,4.0
36.0,4.0,4.0
36.0,11.0,3.0
36.0,2.0,1.0
36.0,16.0,3.0
36.0,13.0,2.0
36.0,21.0,2.0
36.0,30.0,2.0
36.0,10.0,3.0
36.0,0.0,1.0
36.0,5.0,2.0
37.0,3.0,2.0
37.0,14.0,2.0
37.0,22.0,2.0
37.0,21.0,1.0
37.0,11.0,1.0
38.0,3.0,4.0
38.0,4.0,2.0
38.0,25.0,2.0
38.0,16.0,2.0
38.0,10.0,2.0
39.0,3.0,4.0
39.0,4.0,2.0
39.0,16.0,2.0
39.0,10.0,2.0
40.0,3.0,6.0
40.0,10.0,6.0
40.0,21.0,5.0
40.0,8.0,3.0
40.0,25.0,3.0
40.0,20.0,1.0
40.0,6.0,1.0
40.0,11.0,2.0
41.0,3.0,4.0
41.0,22.0,2.0
41.0,10.0,2.0
42.0,3.0,4.0
42.0,24.0,1.0
42.0,10.0,3.0
42.0,4.0,1.0
42.0,13.0,1.0
42.0,21.0,1.0
42.0,14.0,1.0
43.0,25.0,6.0
43.0,14.0,2.0
43.0,16.0,2.0
43.0,13.0,8.0
43.0,4.0,3.0
43.0,10.0,1.0
43.0,11.0,2.0
43.0,3.0,1.0
44.0,3.0,11.0
44.0,10.0,8.0
44.0,21.0,3.0
44.0,4.0,3.0
44.0,0.0,1.0
45.0,4.0,1.0
45.0,11.0,2.0
45.0,2.0,2.0
45.0,25.0,2.0
45.0,20.0,1.0
45.0,10.0,1.0
45.0,14.0,3.0
45.0,16.0,2.0
45.0,3.0,3.0
45.0,22.0,1.0
45.0,23.0,1.0
46.0,3.0,4.0
46.0,14.0,1.0
46.0,22.0,1.0
46.0,5.0,1.0
46.0,11.0,1.0
46.0,2.0,4.0
46.0,10.0,5.0
46.0,4.0,4.0
46.0,25.0,3.0
46.0,12.0,1.0
46.0,21.0,2.0
46.0,0.0,1.0
47.0,21.0,7.0
47.0,25.0,1.0
47.0,20.0,2.0
47.0,3.0,6.0
47.0,4.0,2.0
47.0,10.0,2.0
47.0,2.0,2.0
47.0,13.0,1.0
48.0,10.0,1.0
48.0,3.0,7.0
48.0,12.0,3.0
48.0,2.0,1.0
48.0,21.0,1.0
48.0,9.0,1.0
48.0,0.0,2.0
48.0,25.0,1.0
48.0,14.0,1.0
48.0,16.0,1.0
49.0,3.0,6.0
49.0,12.0,2.0
49.0,22.0,6.0
49.0,10.0,2.0
49.0,4.0,4.0
49.0,21.0,1.0
49.0,16.0,2.0
50.0,3.0,3.0
50.0,14.0,3.0
50.0,11.0,2.0
50.0,16.0,1.0
51.0,3.0,8.0
51.0,17.0,1.0
51.0,22.0,2.0
51.0,14.0,1.0
51.0,10.0,2.0
51.0,30.0,1.0
51.0,21.0,1.0
51.0,11.0,1.0
51.0,12.0,1.0
52.0,4.0,4.0
52.0,25.0,4.0
52.0,2.0,4.0
52.0,5.0,1.0
53.0,3.0,5.0
53.0,14.0,1.0
53.0,10.0,2.0
53.0,21.0,3.0
53.0,7.0,1.0
53.0,4.0,3.0
53.0,16.0,1.0
53.0,11.0,1.0
53.0,25.0,3.0
53.0,26.0,1.0
53.0,5.0,1.0
53.0,20.0,1.0
54.0,3.0,5.0
54.0,16.0,3.0
54.0,22.0,4.0
54.0,10.0,2.0
54.0,4.0,2.0
54.0,0.0,1.0
54.0,12.0,1.0
54.0,1.0,1.0
54.0,25.0,1.0
54.0,2.0,1.0
54.0,14.0,1.0
55.0,3.0,2.0
55.0,12.0,1.0
55.0,11.0,2.0
55.0,14.0,6.0
55.0,16.0,5.0
55.0,22.0,4.0
55.0,25.0,4.0
55.0,20.0,1.0
55.0,4.0,1.0
55.0,2.0,1.0
55.0,21.0,2.0
56.0,3.0,7.0
56.0,4.0,3.0
56.0,2.0,1.0
56.0,25.0,2.0
56.0,14.0,1.0
56.0,16.0,1.0
56.0,10.0,5.0
56.0,0.0,1.0
56.0,6.0,1.0
56.0,20.0,1.0
56.0,11.0,1.0
57.0,4.0,2.0
57.0,11.0,2.0
57.0,2.0,2.0
58.0,3.0,9.0
58.0,15.0,1.0
58.0,4.0,3.0
58.0,16.0,1.0
58.0,21.0,2.0
58.0,10.0,5.0
58.0,6.0,1.0
59.0,3.0,5.0
59.0,21.0,5.0
59.0,10.0,5.0
59.0,5.0,2.0
59.0,24.0,1.0
59.0,12.0,2.0
59.0,4.0,1.0
59.0,19.0,1.0
59.0,30.0,2.0
59.0,18.0,2.0
60.0,3.0,5.0
60.0,16.0,5.0
60.0,7.0,2.0
60.0,22.0,1.0
60.0,25.0,6.0
60.0,14.0,3.0
60.0,13.0,2.0
60.0,4.0,5.0
60.0,2.0,3.0
60.0,10.0,8.0
61.0,3.0,6.0
61.0,16.0,2.0
61.0,11.0,2.0
61.0,4.0,2.0
61.0,14.0,2.0
61.0,10.0,2.0
62.0,10.0,2.0
62.0,29.0,2.0
62.0,4.0,11.0
62.0,22.0,4.0
62.0,3.0,6.0
62.0,17.0,1.0
62.0,16.0,4.0
62.0,14.0,3.0
63.0,25.0,3.0
63.0,14.0,4.0
63.0,4.0,4.0
63.0,5.0,3.0
63.0,16.0,3.0
63.0,3.0,3.0
63.0,22.0,2.0
63.0,11.0,1.0
63.0,2.0,1.0
64.0,10.0,5.0
64.0,5.0,1.0
64.0,2.0,3.0
64.0,3.0,7.0
64.0,8.0,1.0
64.0,4.0,5.0
64.0,25.0,2.0
64.0,16.0,2.0
64.0,11.0,2.0
64.0,14.0,2.0
65.0,3.0,3.0
65.0,10.0,3.0
65.0,0.0,1.0
65.0,26.0,3.0
65.0,23.0,2.0
65.0,27.0,1.0
65.0,6.0,1.0
65.0,25.0,1.0
65.0,20.0,1.0
66.0,4.0,6.0
66.0,14.0,2.0
66.0,16.0,3.0
66.0,22.0,2.0
66.0,5.0,2.0
67.0,4.0,5.0
67.0,11.0,1.0
67.0,2.0,2.0
67.0,21.0,1.0
67.0,25.0,4.0
67.0,3.0,2.0
67.0,10.0,3.0
67.0,0.0,1.0
67.0,22.0,1.0
67.0,16.0,1.0
67.0,20.0,2.0
67.0,19.0,1.0
68.0,3.0,4.0
68.0,21.0,4.0
68.0,9.0,2.0
69.0,3.0,5.0
69.0,21.0,2.0
69.0,8.0,1.0
69.0,30.0,1.0
69.0,23.0,1.0
69.0,4.0,3.0
69.0,25.0,3.0
69.0,11.0,3.0
69.0,10.0,3.0
69.0,16.0,2.0
69.0,13.0,2.0
70.0,4.0,3.0
70.0,19.0,2.0
70.0,23.0,1.0
70.0,10.0,4.0
70.0,7.0,2.0
70.0,2.0,1.0
70.0,5.0,1.0
70.0,11.0,2.0
70.0,21.0,1.0
70.0,8.0,1.0
71.0,21.0,6.0
71.0,12.0,1.0
71.0,8.0,1.0
71.0,3.0,6.0
71.0,30.0,2.0
71.0,10.0,4.0
72.0,25.0,1.0
72.0,20.0,1.0
72.0,3.0,2.0
72.0,22.0,2.0
73.0,3.0,4.0
73.0,21.0,2.0
73.0,4.0,8.0
73.0,2.0,3.0
73.0,25.0,4.0
73.0,22.0,5.0
73.0,16.0,2.0
73.0,10.0,2.0
73.0,29.0,1.0
74.0,3.0,5.0
74.0,21.0,1.0
74.0,22.0,6.0
74.0,10.0,3.0
74.0,4.0,4.0
74.0,2.0,1.0
74.0,16.0,1.0
74.0,13.0,1.0
74.0,14.0,2.0
75.0,3.0,7.0
75.0,14.0,5.0
75.0,22.0,2.0
75.0,16.0,6.0
75.0,13.0,3.0
75.0,4.0,1.0
75.0,25.0,1.0
76.0,4.0,4.0
76.0,16.0,2.0
76.0,10.0,2.0
76.0,14.0,2.0
76.0,13.0,1.0
76.0,25.0,1.0
76.0,2.0,1.0
76.0,3.0,2.0
76.0,22.0,3.0
77.0,21.0,4.0
77.0,22.0,5.0
77.0,3.0,8.0
77.0,10.0,2.0
77.0,12.0,1.0
77.0,11.0,2.0
77.0,4.0,3.0
77.0,16.0,2.0
77.0,2.0,2.0
77.0,7.0,1.0
78.0,4.0,2.0
78.0,25.0,8.0
78.0,2.0,1.0
78.0,20.0,1.0
78.0,10.0,7.0
78.0,11.0,1.0
78.0,3.0,7.0
78.0,14.0,3.0
79.0,21.0,1.0
79.0,25.0,1.0
79.0,14.0,3.0
79.0,22.0,3.0
79.0,3.0,2.0
79.0,10.0,3.0
79.0,4.0,2.0
79.0,11.0,2.0
79.0,2.0,2.0
79.0,16.0,1.0
80.0,23.0,2.0
80.0,10.0,4.0
80.0,21.0,1.0
80.0,5.0,4.0
80.0,3.0,6.0
80.0,14.0,3.0
80.0,9.0,2.0
80.0,30.0,1.0
80.0,0.0,1.0
80.0,4.0,2.0
81.0,3.0,3.0
81.0,21.0,6.0
81.0,4.0,1.0
81.0,11.0,2.0
81.0,2.0,1.0
81.0,14.0,2.0
81.0,22.0,2.0
81.0,10.0,1.0
81.0,26.0,1.0
81.0,9.0,1.0
81.0,8.0,1.0
82.0,3.0,10.0
82.0,10.0,7.0
82.0,25.0,3.0
82.0,20.0,1.0
82.0,4.0,4.0
82.0,19.0,2.0
82.0,14.0,2.0
82.0,21.0,2.0
82.0,22.0,4.0
82.0,2.0,1.0
82.0,12.0,2.0
83.0,3.0,4.0
83.0,21.0,2.0
83.0,10.0,5.0
83.0,25.0,2.0
83.0,20.0,1.0
83.0,22.0,1.0
83.0,6.0,1.0
84.0,4.0,2.0
84.0,25.0,2.0
84.0,5.0,2.0
85.0,21.0,3.0
85.0,5.0,3.0
85.0,11.0,5.0
85.0,25.0,4.0
85.0,4.0,3.0
85.0,3.0,1.0
85.0,14.0,1.0
85.0,16.0,1.0
86.0,10.0,7.0
86.0,30.0,1.0
86.0,18.0,1.0
86.0,3.0,6.0
86.0,4.0,1.0
86.0,14.0,3.0
86.0,16.0,2.0
86.0,12.0,1.0
86.0,11.0,3.0
86.0,2.0,4.0
86.0,6.0,1.0
87.0,3.0,6.0
87.0,25.0,1.0
87.0,14.0,1.0
87.0,16.0,2.0
87.0,0.0,1.0
87.0,10.0,1.0
88.0,21.0,2.0
88.0,22.0,9.0
88.0,4.0,11.0
88.0,14.0,2.0
88.0,28.0,1.0
88.0,10.0,2.0
88.0,3.0,1.0
88.0,25.0,3.0
88.0,2.0,1.0
88.0,16.0,2.0
89.0,3.0,7.0
89.0,17.0,1.0
89.0,11.0,6.0
89.0,10.0,2.0
89.0,21.0,1.0
89.0,4.0,1.0
89.0,2.0,5.0
90.0,11.0,9.0
90.0,2.0,10.0
90.0,4.0,4.0
90.0,25.0,2.0
90.0,5.0,2.0
90.0,13.0,1.0
91.0,3.0,2.0
91.0,12.0,1.0
91.0,21.0,5.0
91.0,5.0,2.0
91.0,11.0,2.0
91.0,4.0,4.0
91.0,25.0,5.0
91.0,2.0,4.0
91.0,8.0,3.0
91.0,20.0,1.0
92.0,4.0,3.0
92.0,11.0,1.0
92.0,2.0,1.0
92.0,3.0,4.0
92.0,14.0,1.0
92.0,22.0,1.0
92.0,5.0,2.0
92.0,10.0,2.0
92.0,26.0,1.0
92.0,21.0,1.0
92.0,12.0,1.0
92.0,0.0,1.0
93.0,4.0,7.0
93.0,11.0,4.0
93.0,2.0,6.0
93.0,25.0,2.0
93.0,10.0,4.0
93.0,5.0,2.0
93.0,16.0,2.0
93.0,3.0,3.0
93.0,7.0,1.0
93.0,8.0,1.0
93.0,14.0,1.0
93.0,22.0,1.0
93.0,21.0,1.0
94.0,3.0,11.0
94.0,10.0,6.0
94.0,25.0,2.0
94.0,20.0,1.0
94.0,21.0,2.0
94.0,14.0,3.0
94.0,5.0,1.0
94.0,11.0,3.0
94.0,16.0,1.0
94.0,4.0,2.0
94.0,2.0,2.0
95.0,3.0,4.0
95.0,14.0,3.0
95.0,17.0,2.0
95.0,10.0,1.0
95.0,16.0,1.0
95.0,22.0,2.0
95.0,4.0,5.0
95.0,25.0,1.0
95.0,5.0,1.0
95.0,21.0,1.0
95.0,11.0,1.0
95.0,8.0,1.0
96.0,3.0,9.0
96.0,14.0,1.0
96.0,22.0,1.0
96.0,12.0,2.0
96.0,10.0,3.0
96.0,25.0,1.0
96.0,21.0,1.0
96.0,17.0,1.0
97.0,10.0,7.0
97.0,25.0,3.0
97.0,14.0,1.0
97.0,2.0,1.0
97.0,20.0,1.0
97.0,21.0,3.0
97.0,11.0,5.0
97.0,3.0,3.0
97.0,5.0,3.0
98.0,3.0,7.0
98.0,14.0,4.0
98.0,22.0,3.0
98.0,11.0,2.0
98.0,2.0,4.0
98.0,0.0,2.0
98.0,7.0,1.0
98.0,16.0,1.0
98.0,10.0,3.0
98.0,4.0,5.0
98.0,12.0,1.0
98.0,25.0,4.0
99.0,18.0,2.0
99.0,3.0,7.0
99.0,10.0,4.0
99.0,21.0,1.0
99.0,9.0,2.0
99.0,11.0,1.0
99.0,2.0,3.0
99.0,4.0,2.0
99.0,25.0,2.0
99.0,14.0,1.0
99.0,16.0,1.0
100.0,4.0,2.0
100.0,11.0,1.0
100.0,2.0,3.0
100.0,3.0,5.0
100.0,14.0,2.0
100.0,22.0,1.0
100.0,30.0,1.0
100.0,0.0,2.0
100.0,21.0,2.0
100.0,25.0,1.0
100.0,10.0,1.0
100.0,8.0,1.0
101.0,25.0,4.0
101.0,14.0,2.0
101.0,16.0,6.0
101.0,3.0,4.0
101.0,7.0,1.0
101.0,17.0,1.0
101.0,4.0,8.0
101.0,2.0,4.0
101.0,19.0,1.0
101.0,13.0,1.0
102.0,3.0,5.0
102.0,10.0,10.0
102.0,25.0,2.0
102.0,4.0,2.0
102.0,22.0,1.0
102.0,12.0,1.0
102.0,14.0,1.0
102.0,21.0,2.0
102.0,11.0,2.0
102.0,19.0,1.0
102.0,8.0,1.0
103.0,5.0,5.0
103.0,10.0,1.0
103.0,22.0,1.0
103.0,4.0,5.0
103.0,11.0,2.0
103.0,2.0,3.0
103.0,27.0,1.0
103.0,25.0,3.0
103.0,3.0,1.0
103.0,24.0,1.0
103.0,19.0,1.0
103.0,8.0,1.0
104.0,4.0,3.0
104.0,25.0,3.0
104.0,3.0,5.0
104.0,11.0,1.0
104.0,2.0,1.0
104.0,21.0,2.0
104.0,22.0,1.0
104.0,10.0,1.0
104.0,5.0,4.0
104.0,12.0,1.0
104.0,29.0,1.0
105.0,3.0,3.0
105.0,16.0,3.0
105.0,22.0,4.0
105.0,4.0,4.0
105.0,2.0,3.0
105.0,10.0,2.0
105.0,14.0,2.0
105.0,25.0,1.0
105.0,11.0,1.0
105.0,13.0,2.0
106.0,3.0,10.0
106.0,12.0,1.0
106.0,21.0,4.0
106.0,14.0,4.0
106.0,10.0,2.0
106.0,23.0,1.0
106.0,8.0,1.0
106.0,4.0,4.0
106.0,19.0,2.0
107.0,26.0,2.0
107.0,4.0,2.0
107.0,11.0,1.0
107.0,2.0,1.0
107.0,5.0,1.0
107.0,24.0,1.0
107.0,3.0,1.0
107.0,10.0,2.0
107.0,21.0,1.0
107.0,14.0,4.0
107.0,16.0,2.0
107.0,22.0,4.0
107.0,31.0,1.0
108.0,4.0,3.0
108.0,22.0,4.0
108.0,3.0,9.0
108.0,16.0,3.0
108.0,7.0,2.0
108.0,0.0,2.0
108.0,14.0,2.0
108.0,10.0,4.0
108.0,30.0,1.0
109.0,3.0,7.0
109.0,21.0,3.0
109.0,30.0,3.0
109.0,10.0,9.0
109.0,4.0,6.0
109.0,0.0,3.0
109.0,7.0,2.0
109.0,25.0,2.0
109.0,13.0,2.0
109.0,2.0,2.0
109.0,22.0,2.0
109.0,18.0,2.0
109.0,28.0,2.0
110.0,4.0,5.0
110.0,22.0,3.0
110.0,7.0,1.0
110.0,17.0,1.0
110.0,5.0,3.0
110.0,11.0,1.0
110.0,2.0,1.0
110.0,10.0,1.0
110.0,14.0,1.0
110.0,16.0,1.0
110.0,3.0,1.0
110.0,21.0,1.0
111.0,26.0,1.0
111.0,3.0,5.0
111.0,21.0,3.0
111.0,30.0,2.0
111.0,23.0,2.0
111.0,10.0,1.0
111.0,0.0,1.0
111.0,8.0,1.0
111.0,27.0,1.0
112.0,3.0,7.0
112.0,12.0,3.0
112.0,22.0,2.0
112.0,1.0,1.0
112.0,4.0,2.0
112.0,25.0,2.0
112.0,5.0,4.0
112.0,10.0,4.0
112.0,21.0,4.0
112.0,11.0,3.0
113.0,3.0,8.0
113.0,30.0,1.0
113.0,0.0,2.0
113.0,10.0,4.0
113.0,14.0,3.0
113.0,16.0,2.0
113.0,4.0,3.0
113.0,22.0,2.0
113.0,9.0,2.0
113.0,25.0,1.0
114.0,21.0,2.0
114.0,5.0,5.0
114.0,10.0,2.0
114.0,11.0,1.0
114.0,3.0,6.0
114.0,4.0,5.0
114.0,24.0,1.0
114.0,22.0,3.0
114.0,14.0,2.0
115.0,4.0,1.0
115.0,25.0,2.0
115.0,2.0,3.0
115.0,3.0,5.0
115.0,21.0,4.0
115.0,14.0,1.0
115.0,5.0,4.0
115.0,11.0,6.0
115.0,0.0,1.0
115.0,20.0,1.0
115.0,26.0,1.0
115.0,15.0,1.0
115.0,17.0,1.0
116.0,10.0,5.0
116.0,16.0,5.0
116.0,13.0,3.0
116.0,14.0,2.0
116.0,3.0,5.0
116.0,9.0,2.0
116.0,4.0,2.0
116.0,25.0,5.0
116.0,2.0,2.0
116.0,20.0,1.0
116.0,18.0,1.0
117.0,10.0,2.0
117.0,3.0,5.0
117.0,14.0,1.0
117.0,16.0,1.0
117.0,21.0,4.0
118.0,3.0,6.0
118.0,21.0,2.0
118.0,11.0,1.0
118.0,26.0,3.0
118.0,0.0,1.0
118.0,7.0,1.0
118.0,10.0,1.0
118.0,4.0,1.0
118.0,14.0,1.0
118.0,22.0,1.0
118.0,5.0,1.0
118.0,24.0,1.0
118.0,16.0,1.0
119.0,3.0,7.0
119.0,11.0,1.0
119.0,21.0,2.0
119.0,12.0,1.0
119.0,0.0,3.0
119.0,10.0,3.0
119.0,29.0,1.0
119.0,4.0,3.0
119.0,25.0,3.0
119.0,2.0,3.0
119.0,17.0,1.0
119.0,6.0,1.0
120.0,21.0,1.0
120.0,12.0,3.0
120.0,4.0,2.0
120.0,2.0,2.0
120.0,3.0,5.0
120.0,19.0,1.0
120.0,8.0,1.0
120.0,5.0,1.0
120.0,11.0,1.0
120.0,16.0,1.0
121.0,3.0,2.0
121.0,30.0,1.0
121.0,0.0,2.0
121.0,10.0,3.0
121.0,21.0,2.0
121.0,5.0,2.0
121.0,11.0,8.0
121.0,4.0,8.0
121.0,2.0,10.0
121.0,25.0,4.0
121.0,16.0,2.0
122.0,3.0,9.0
122.0,10.0,3.0
122.0,9.0,3.0
122.0,21.0,4.0
122.0,14.0,1.0
122.0,16.0,1.0
122.0,8.0,1.0
122.0,26.0,1.0
122.0,11.0,1.0
123.0,26.0,2.0
123.0,10.0,2.0
123.0,21.0,3.0
123.0,18.0,3.0
123.0,3.0,5.0
123.0,14.0,1.0
123.0,22.0,1.0
123.0,5.0,2.0
123.0,11.0,1.0
123.0,30.0,2.0
123.0,0.0,1.0
124.0,25.0,2.0
124.0,14.0,2.0
124.0,16.0,2.0
124.0,3.0,6.0
124.0,0.0,3.0
124.0,21.0,1.0
124.0,22.0,1.0
124.0,5.0,2.0
124.0,11.0,2.0
124.0,2.0,3.0
124.0,4.0,1.0
124.0,6.0,1.0
124.0,10.0,2.0
125.0,3.0,8.0
125.0,21.0,4.0
125.0,18.0,1.0
125.0,14.0,2.0
125.0,16.0,3.0
125.0,13.0,1.0
125.0,11.0,1.0
125.0,10.0,1.0
125.0,0.0,1.0
125.0,25.0,1.0
126.0,10.0,1.0
126.0,21.0,3.0
126.0,3.0,6.0
126.0,14.0,3.0
126.0,22.0,1.0
126.0,4.0,5.0
126.0,16.0,1.0
126.0,25.0,3.0
126.0,20.0,1.0
126.0,8.0,1.0
126.0,5.0,2.0
126.0,11.0,2.0
126.0,2.0,2.0
127.0,3.0,9.0
127.0,7.0,1.0
127.0,25.0,1.0
127.0,16.0,3.0
127.0,10.0,4.0
127.0,18.0,2.0
127.0,28.0,2.0
127.0,4.0,2.0
127.0,14.0,1.0
128.0,10.0,4.0
128.0,14.0,1.0
128.0,16.0,1.0
128.0,3.0,8.0
128.0,12.0,1.0
128.0,21.0,2.0
128.0,4.0,4.0
128.0,7.0,1.0
128.0,17.0,1.0
128.0,25.0,2.0
128.0,2.0,1.0
129.0,3.0,3.0
129.0,10.0,1.0
129.0,0.0,1.0
130.0,3.0,4.0
130.0,4.0,2.0
130.0,22.0,2.0
130.0,10.0,2.0
131.0,3.0,8.0
131.0,12.0,1.0
131.0,4.0,4.0
131.0,25.0,5.0
131.0,2.0,2.0
131.0,10.0,8.0
