index,id,community,district,bizcircle,tagList,onsale
37,1111027373735,电建南院,朝阳,定福庄,近地铁八通线传媒大学站,1
38,1111027373736,动街区,海淀,西三旗,近地铁8号线育新站,0
39,1111027373737,东架松,朝阳,潘家园,近地铁10号线潘家园站,2
40,1111027373738,点击未来,朝阳,望京,近地铁14号线(东段)望京南站,1
41,1111027373740,道家园,朝阳,甜水园,近地铁6号线金台路站,11
42,1111027373742,东景苑,朝阳,华威桥,近地铁10号线潘家园站,5
43,1111027373743,都景苑,海淀,牡丹园,近地铁10号线健德门站,5
44,1111027373748,缎库胡同,东城,东单,近地铁1号线天安门东站,0
45,1111027373749,地壳所,海淀,安宁庄,,4
46,1111027373750,大六部口,西城,西单,近地铁1号线西单站,1
47,1111027373751,动力厂宿舍,海淀,安宁庄,,3
48,1111027373753,大龙公寓,朝阳,安贞,近地铁5号线和平里北街站,1
49,1111027373754,大力胡同,西城,宣武门,近地铁7号线珠市口站,0
50,1111027373755,登莱胡同,西城,牛街,近地铁7号线广安门内站,0
51,1111027373756,东领鉴筑,朝阳,定福庄,近地铁八通线传媒大学站,4
52,1111027373757,灯笼库胡同,东城,东单,近地铁1号线天安门东站,1
53,1111027373759,东罗圈胡同,东城,金宝街,近地铁5号线灯市口站,0
54,1111027373760,东罗圈胡同北,东城,金宝街,近地铁5号线灯市口站,0
55,1111027373761,东罗圈胡同西,东城,金宝街,近地铁5号线灯市口站,0
56,1111027373762,大柳树13号院,海淀,白石桥,,2
57,1111027373763,大柳树3号院,海淀,白石桥,,0
58,1111027373764,大柳树5号院,海淀,白石桥,,1
59,1111027373765,大柳树7号院,海淀,白石桥,,1
60,1111027373766,大柳树9号院,海淀,白石桥,,0
61,1111027373768,大柳树甲17号院,海淀,白石桥,,1
62,1111027373769,大柳树甲17号院平房,海淀,白石桥,,0
63,1111027373770,电力宿舍,海淀,清河,,2
64,1111027373772,东廊下12号院,西城,官园,近地铁4号线平安里站,0
65,1111027373773,东廊下胡同,西城,官园,近地铁2号线积水潭站,0
66,1111027373774,东柳西里,朝阳,双桥,近地铁八通线双桥站,4
67,1111027373779,东门仓胡同,东城,朝阳门内,近地铁2号线东四十条站,0
68,1111027373781,东煤厂胡同,西城,地安门,近地铁6号线北海北站,0
69,1111027373782,大木仓胡同35号,西城,金融街,近地铁4号线灵境胡同站,0
70,1111027373783,东门仓胡同甲3号院,东城,朝阳门内,近地铁2号线东四十条站,0
71,1111027373785,东棉花胡同,东城,地安门,近地铁6号线南锣鼓巷站,0
72,1111027373786,东棉花胡同2号院,东城,地安门,近地铁6号线南锣鼓巷站,0
73,1111027373787,大帽胡同,西城,西四,近地铁2号线积水潭站,0
74,1111027373797,大泥湾,海淀,中关村,近地铁10号线知春里站,2
75,1111027373798,东南小区,海淀,中关村,近地铁4号线海淀黄庄站,21
76,1111027373799,东南园,西城,宣武门,近地铁2号线和平门站,0
77,1111027373800,东南园平房,西城,宣武门,近地铁7号线虎坊桥站,0
78,1111027373802,东平里,朝阳,首都机场,,6
79,1111027373803,东枪厂胡同,西城,西四,近地铁2号线积水潭站,0
80,1111027373804,丹青府,海淀,田村,,6
81,1111027373805,丹青府圣华园,海淀,田村,,0
82,1111027373806,东区国际,朝阳,红庙,,10
83,1111027373807,大齐家胡同,西城,崇文门,近地铁1号线王府井站,0
84,1111027373809,大钱市胡同,西城,西直门,近地铁2号线积水潭站,1
85,1111027373810,大钱市胡同内平房,西城,西直门,近地铁2号线西直门站,0
86,1111027373812,东润枫景二期,朝阳,朝阳公园,近地铁14号线(东段)东风北桥站,1
87,1111027373813,东润枫景三期,朝阳,朝阳公园,近地铁14号线(东段)东风北桥站,5
88,1111027373814,东润枫景一期,朝阳,朝阳公园,,2
89,1111027373815,东冉家园,海淀,西山,,0
90,1111027373818,东绒线胡同,西城,西单,近地铁2号线和平门站,0
91,1111027373820,叠墅,朝阳,高碑店,,4
92,1111027373822,大石碑胡同,西城,六铺炕,近地铁2号线积水潭站,0
93,1111027373823,东四八条,东城,东四,近地铁2号线东四十条站,0
94,1111027373824,东石槽胡同,东城,建国门内,近地铁5号线灯市口站,0
95,1111027373825,灯市东口,东城,金宝街,近地铁5号线灯市口站,0
96,1111027373828,东四二条,东城,东四,近地铁5号线张自忠路站,1
97,1111027373829,东四二条11号院,东城,东四,近地铁5号线东四站,0
98,1111027373830,东四二条13号院,东城,东四,近地铁5号线东四站,0
99,1111027373843,大石虎胡同,西城,地安门,近地铁6号线北海北站,0
100,1111027373844,东三环南路,朝阳,双井,近地铁10号线劲松站,2
101,1111027373846,都市经典家园,朝阳,甘露园,近地铁1号线四惠东站,8
102,1111027373848,东水井胡同,东城,朝阳门内,近地铁1号线王府井站,1
103,1111027373849,东四九条,东城,东四,近地铁1号线王府井站,0
104,1111027373850,德胜佳苑,西城,德胜门,近地铁2号线积水潭站,1
105,1111027373851,灯市口北巷,东城,灯市口,近地铁5号线东四站,0
106,1111027373852,灯市口大街,东城,灯市口,近地铁5号线灯市口站,5
107,1111027373853,灯市口大街27号院,东城,灯市口,近地铁5号线张自忠路站,1
108,1111027373855,灯市口西街,东城,灯市口,近地铁1号线建国门站,3
109,1111027373856,灯市口西街5号院,东城,灯市口,近地铁5号线灯市口站,0
110,1111027373858,东四块玉北街,东城,左安门,近地铁5号线天坛东门站,1
111,1111027373859,东四块玉南街甲9号楼,东城,左安门,近地铁5号线天坛东门站,0
112,1111027373860,东四块玉南街2号院,东城,左安门,近地铁5号线天坛东门站,0
113,1111027373861,东四块玉南街30号院,东城,左安门,近地铁5号线天坛东门站,2
114,1111027373862,东四六条,东城,东四,近地铁5号线张自忠路站,0
115,1111027373863,德胜里西街3号院,西城,德胜门,,0
116,1111027373864,德胜里西街5号院,西城,德胜门,近地铁2号线积水潭站,0
117,1111027373865,德胜里一区,西城,德胜门,近地铁2号线积水潭站,5
118,1111027373866,德胜门内大街,西城,西四,近地铁4号线平安里站,0
119,1111027373867,德胜门内大街265号,西城,西四,近地铁4号线平安里站,0
120,1111027373873,德胜门西大街64号,西城,新街口,近地铁2号线积水潭站,2
121,1111027373874,德胜门西大街74号,西城,西直门,近地铁2号线西直门站,0
122,1111027373875,德胜门西大街甲5号,海淀,新街口,近地铁2号线积水潭站,4
123,1111027373876,东四南大街,东城,灯市口,近地铁1号线东单站,0
124,1111027373881,第三区,西城,马连道,近地铁7号线湾子站,3
125,1111027373882,大石桥胡同10号院,西城,六铺炕,近地铁2号线鼓楼大街站,1
126,1111027373883,大石桥胡同29号院,西城,六铺炕,近地铁2号线鼓楼大街站,0
127,1111027373884,大石桥胡同9号,西城,六铺炕,近地铁2号线鼓楼大街站,0
128,1111027373886,东四七条,东城,东四,近地铁1号线东单站,0
129,1111027373887,都市晴园,西城,右安门内,,1
130,1111027373888,东山墅,朝阳,朝阳公园,近地铁14号线(东段)东风北桥站,0
131,1111027373889,东四十二条,东城,东四,近地铁1号线建国门站,0
132,1111027373890,东四十二条21号院,东城,东四,近地铁5号线张自忠路站,0
133,1111027373891,东松树胡同,西城,西单,近地铁1号线东单站,0
134,1111027373892,东松数胡同,西城,西单,近地铁2号线和平门站,0
135,1111027373893,德胜世嘉,西城,六铺炕,近地铁2号线鼓楼大街站,2
136,1111027373894,东四十四条,东城,东四,近地铁5号线北新桥站,0
137,1111027373895,东四十三条,东城,东四,近地铁5号线北新桥站,0
138,1111027373896,东四四条,东城,东四,近地铁5号线张自忠路站,1
139,1111027373897,东四十条,东城,东四,近地铁1号线王府井站,0
140,1111027373898,东四三条,东城,东四,近地铁1号线王府井站,0
141,1111027373899,东四十条甲100号院,东城,东四,近地铁5号线张自忠路站,0
142,1111027373900,东四十条甲34号院,东城,朝阳门内,近地铁2号线东四十条站,4
143,1111027373901,东四十一条,东城,东四,近地铁2号线东四十条站,0
144,1111027373902,东四头条,东城,东四,近地铁2号线东四十条站,0
145,1111027373903,都市网景,海淀,双榆树,近地铁10号线知春里站,3
146,1111027373904,东四五条,东城,东四,近地铁1号线东单站,0
147,1111027373905,东四西大街,东城,灯市口,近地铁5号线东四站,1
148,1111027373906,都市心海岸,朝阳,望京,近地铁14号线(东段)阜通站,6
149,1111027373907,东升园,海淀,五道口,近地铁13号线五道口站,18
150,1111027373908,德顺园,海淀,西山,,0
151,1111027373909,鼎盛园,东城,永定门,近地铁14号线(东段)景泰站,2
152,1111027373913,大山子北里,朝阳,大山子,近地铁14号线(东段)望京南站,6
153,1111027373914,大石作胡同,西城,西四,,0
154,1111027373915,大山子南里,朝阳,酒仙桥,近地铁14号线(东段)望京南站,2
155,1111027373920,大山子西里,朝阳,大山子,近地铁14号线(东段)望京南站,2
156,1111027373922,德胜置业,西城,六铺炕,,4
157,1111027373923,第三置业,朝阳,三元桥,近地铁机场线三元桥站,5
158,1111027373924,地坛北里,东城,和平里,近地铁5号线和平里北街站,6
159,1111027373925,地坛北门,东城,和平里,近地铁5号线和平里北街站,0
160,1111027373926,东土城路13号院,朝阳,和平里,近地铁13号线柳芳站,3
161,1111027373927,东土城路1号院,朝阳,和平里,近地铁13号线柳芳站,0
162,1111027373928,东土城路7号院,朝阳,和平里,近地铁13号线柳芳站,0
163,1111027373929,东土城路9号院,朝阳,和平里,近地铁13号线柳芳站,0
164,1111027373930,东土城路甲3号院,朝阳,和平里,近地铁13号线柳芳站,0
165,1111027373932,大糖房胡同,西城,西四,近地铁4号线西四站,0
166,1111027373934,东厅胡同,东城,崇文门,近地铁5号线磁器口站,0
167,1111027373935,东绦胡同,东城,安定门,近地铁2号线鼓楼大街站,0
168,1111027373936,东唐街,东城,崇文门,近地铁5号线磁器口站,0
169,1111027373937,东铁匠胡同,西城,金融街,近地铁1号线西单站,0
170,1111027373939,大屯里小区,朝阳,亚运村,近地铁15号线安立路站,15
171,1111027373940,东太平湖,西城,金融街,近地铁2号线长椿街站,0
172,1111027373941,东太平街,西城,金融街,近地铁1号线复兴门站,0
173,1111027373942,东桃园,西城,西直门,近地铁4号线新街口站,0
174,1111027373943,东堂子胡同,东城,建国门内,近地铁1号线东单站,4
175,1111027373944,东堂子胡同49号院,东城,建国门内,近地铁5号线灯市口站,0
176,1111027373945,东堂子胡同57号院,东城,建国门内,近地铁5号线灯市口站,0
177,1111027373948,东文昌胡同,西城,西单,近地铁1号线天安门西站,0
178,1111027373949,德外大街12号院,西城,六铺炕,近地铁2号线安定门站,1
179,1111027373950,德外大街2号院,西城,马甸,,0
180,1111027373951,德外大街4号院,西城,马甸,,0
181,1111027373952,德外大街甲22号,西城,六铺炕,,0
182,1111027373953,德外大街乙12号院,西城,六铺炕,,11
183,1111027373954,东外公馆,东城,工体,近地铁机场线三元桥站,1
184,1111027373956,道湾胡同,东城,东四,近地铁2号线朝阳门站,0
185,1111027373957,东旺胡同,东城,交道口,近地铁5号线北新桥站,0
186,1111027373958,大外廊营胡同,西城,宣武门,近地铁7号线虎坊桥站,0
187,1111027373960,动物园宿舍,海淀,白石桥,近地铁4号线动物园站,10
188,1111027373961,东王庄,海淀,五道口,近地铁15号线六道口站,23
189,1111027373965,大翔凤胡同,西城,地安门,近地铁2号线积水潭站,0
190,1111027373968,大兴胡同,东城,交道口,近地铁5号线北新桥站,0
191,1111027373969,大席胡同,东城,崇文门,近地铁7号线桥湾站,0
192,1111027373970,东旭花园,朝阳,双桥,,0
193,1111027373971,地兴居,东城,安定门,近地铁2号线鼓楼大街站,1
194,1111027373972,东斜街,西城,西单,近地铁1号线西单站,1
195,1111027373973,大学夹道,东城,东四,近地铁1号线东单站,0
196,1111027373976,东新开胡同,西城,新街口,近地铁4号线新街口站,2
197,1111027373977,大兴隆胡同,西城,西四,近地铁4号线西四站,0
198,1111027373979,东新帘子胡同,西城,西单,近地铁2号线和平门站,0
199,1111027373983,东小栓胡同,西城,西单,近地铁2号线和平门站,0
200,1111027373984,东晓市街,东城,天坛,近地铁5号线磁器口站,0
201,1111027373985,电信宿舍,海淀,马甸,近地铁10号线健德门站,1
202,1111027373990,电信小区,海淀,军博,近地铁9号线北京西站站,1
203,1111027373993,东旭园,海淀,西北旺,,1
204,1111027373994,东馨园,海淀,西北旺,,5
205,1111027373995,稻香园,海淀,苏州桥,近地铁10号线苏州街站,13
206,1111027373996,稻香园甲,海淀,苏州桥,近地铁10号线苏州街站,0
207,1111027373998,东馨园西,海淀,西北旺,,0
208,1111027373999,大西洋新城A区,朝阳,望京,近地铁14号线(东段)阜通站,6
209,1111027374000,大西洋新城B区,朝阳,望京,近地铁14号线(东段)阜通站,3
210,1111027374001,大西洋新城C区,朝阳,望京,近地铁14号线(东段)阜通站,7
211,1111027374002,大西洋新城D区,朝阳,望京,近地铁14号线(东段)阜通站,14
212,1111027374003,大西洋新城E区,朝阳,望京,近地铁15号线望京站,8
213,1111027374004,大西洋新城F区,朝阳,望京,近地铁14号线(东段)阜通站,8
214,1111027374006,稻香园西里,海淀,苏州桥,近地铁10号线苏州街站,7
215,1111027374008,大雅宝胡同,东城,朝阳门内,近地铁1号线王府井站,0
216,1111027374009,大有北里小区,海淀,马连洼,近地铁16号线农大南路站,0
217,1111027374013,丹耀大厦,东城,东单,近地铁1号线王府井站,1
218,1111027374016,东营房八条,东城,工体,近地铁2号线东四十条站,2
219,1111027374017,大羊坊甲2号,朝阳,北苑,近地铁5号线北苑路北站,0
220,1111027374018,大羊坊甲4号院,朝阳,北苑,近地铁5号线立水桥南站,0
221,1111027374019,东营房九条,朝阳,朝阳门外,近地铁2号线东四十条站,0
222,1111027374020,大羊坊路79号院,朝阳,十里河,近地铁10号线十里河站,0
223,1111027374021,民安小区东羊管胡同,东城,东直门,近地铁2号线东直门站,5
224,1111027374022,迪阳公寓,朝阳,朝阳门外,近地铁6号线东大桥站,0
225,1111027374023,顶银胡同,东城,建国门内,近地铁1号线东单站,0
226,1111027374024,大院胡同,西城,金融街,近地铁4号线西四站,0
227,1111027374025,大院胡同5号院,西城,金融街,近地铁4号线西四站,0
228,1111027374027,达园镜胡同,西城,陶然亭,近地铁7号线珠市口站,0
229,1111027374028,大杨家胡同,西城,西四,近地铁4号线平安里站,0
230,1111027374029,大旸楼,朝阳,大望路,近地铁7号线九龙山站,1
231,1111027374036,大羊毛胡同,东城,建国门外,近地铁1号线王府井站,0
232,1111027374043,东一时区,朝阳,双桥,,4
233,1111027374044,民安小区东扬威街,东城,东直门,近地铁2号线东直门站,1
234,1111027374045,东亚望京中心,朝阳,望京,近地铁14号线(东段)阜通站,10
235,1111027374049,大羊宜宾胡同,东城,建国门内,近地铁1号线建国门站,0
236,1111027374050,大羊宜宾胡同31号院,东城,建国门内,近地铁1号线建国门站,2
237,1111027374051,大羊宜宾胡同33号院,东城,建国门内,近地铁1号线建国门站,0
238,1111027374052,大羊宜宾胡同35号院,东城,建国门内,近地铁1号线建国门站,3
239,1111027374053,大有庄南上坡村,海淀,颐和园,近地铁4号线北宫门站,0
240,1111027374055,东总布胡同,东城,建国门内,近地铁1号线建国门站,2
241,1111027374056,东总布胡同19号院,东城,建国门内,近地铁1号线王府井站,0
242,1111027374057,东总布胡同45号院,东城,建国门内,近地铁1号线建国门站,0
243,1111027374059,电子城小区,朝阳,酒仙桥,,9
244,1111027374061,地质附中,海淀,五道口,,2
245,1111027374062,东中公寓,东城,东直门,近地铁2号线东四十条站,2
246,1111027374064,丁字胡同,西城,金融街,近地铁1号线西单站,0
247,1111027374065,东中街,东城,东直门,近地铁2号线东四十条站,2
248,1111027374068,大栅栏西街,西城,宣武门,近地铁2号线前门站,0
249,1111027374069,倒座庙,海淀,苏州桥,近地铁10号线苏州街站,1
250,1111027374070,倒座庙1号院,海淀,苏州桥,近地铁10号线苏州街站,0
251,1111027374072,东直门北大街,东城,东直门,近地铁2号线东直门站,4
252,1111027374073,清水苑,东城,东直门,近地铁2号线东直门站,0
253,1111027374074,民安小区东直门北中街,东城,东直门,近地铁2号线东直门站,8
254,1111027374075,民安小区东直门内北小街,东城,东直门,近地铁2号线东直门站,7
255,1111027374076,东直门内北小街16号,东城,东直门,近地铁2号线东直门站,4
256,1111027374077,东直门内北小街2号院,东城,东直门,近地铁2号线雍和宫站,3
257,1111027374078,东直门内北小街8号院,东城,东直门,近地铁2号线雍和宫站,5
258,1111027374080,东直门内大街,东城,东直门,近地铁2号线雍和宫站,4
259,1111027374081,东直门南大街,东城,东直门,近地铁2号线东四十条站,2
260,1111027374082,东直门内南小街,东城,东四,近地铁2号线东直门站,0
261,1111027374084,东直门外大街,朝阳,工体,近地铁2号线东直门站,4
262,1111027374085,东直门外斜街,东城,东直门,近地铁2号线东直门站,0
263,1111027374086,东直门外小街10号院,东城,东直门,近地铁2号线东直门站,0
264,1111027374087,东直门外小街8号院,东城,东直门,近地铁2号线东直门站,2
265,1111027374088,达智桥胡同,西城,宣武门,近地铁2号线宣武门站,0
266,1111027374090,大钟寺133号院,海淀,皂君庙,近地铁13号线大钟寺站,0
267,1111027374091,大钟寺13号院,海淀,皂君庙,近地铁13号线大钟寺站,0
268,1111027374093,大钟寺甲133号院,海淀,皂君庙,近地铁13号线大钟寺站,1
269,1111027374094,大钟寺甲8号院,海淀,皂君庙,近地铁13号线大钟寺站,0
270,1111027374097,东智义胡同,西城,金融街,近地铁1号线复兴门站,0
271,1111027374102,恩济花园,海淀,定慧寺,近地铁10号线西钓鱼台站,0
272,1111027374103,恩济里小区,海淀,定慧寺,近地铁6号线慈寿寺站,15
273,1111027374105,恩济庄46号院,海淀,定慧寺,近地铁6号线海淀五路居站,1
274,1111027374106,恩济庄57号院,海淀,定慧寺,,0
275,1111027374107,恩济庄82号院,海淀,定慧寺,近地铁6号线海淀五路居站,3
276,1111027374108,恩济庄96号院,海淀,定慧寺,近地铁6号线海淀五路居站,0
277,1111027374109,恩济庄缘,海淀,定慧寺,近地铁6号线慈寿寺站,3
278,1111027374110,二里沟中街44号院,海淀,甘家口,近地铁6号线白石桥南站,0
279,1111027374111,二龙路,西城,金融街,近地铁1号线西单站,2
280,1111027374114,二里庄北里,海淀,二里庄,近地铁15号线北沙滩站,6
281,1111027374116,二里庄小区,海淀,二里庄,近地铁15号线北沙滩站,12
282,1111027374119,二炮大院,西城,月坛,近地铁1号线南礼士路站,0
283,1111027374124,二七剧场路,西城,月坛,近地铁1号线南礼士路站,1
284,1111027374126,二轻局宿舍,海淀,牡丹园,近地铁10号线牡丹园站,0
285,1111027374129,二十中家属院,海淀,安宁庄,,1
286,1111027374130,儿童福利院家属楼,海淀,清河,,0
287,1111027374135,阜北小区,海淀,甘家口,近地铁9号线白堆子站,4
288,1111027374142,芳草地北巷,朝阳,朝阳门外,近地铁6号线东大桥站,0
289,1111027374145,富成大厦,西城,阜成门,近地铁9号线白堆子站,0
290,1111027374146,芳草地西街,朝阳,朝阳门外,近地铁6号线东大桥站,0
291,1111027374147,富成花园,朝阳,亚运村小营,近地铁13号线望京西站,0
292,1111027374148,福长街平房,西城,陶然亭,近地铁5号线天坛东门站,0
293,1111027374149,福长街五条18号院,西城,陶然亭,,0
294,1111027374151,工商大学东校区,海淀,甘家口,近地铁9号线白堆子站,3
295,1111027374152,阜成路14号院,海淀,甘家口,近地铁9号线白堆子站,0
296,1111027374153,阜成路15号,海淀,甘家口,近地铁9号线白堆子站,0
297,1111027374154,阜成路26号院,海淀,定慧寺,近地铁10号线西钓鱼台站,0
298,1111027374155,阜成路28号院,海淀,定慧寺,近地铁10号线西钓鱼台站,0
299,1111027374156,阜成路47号院,海淀,定慧寺,近地铁10号线西钓鱼台站,0
300,1111027374157,阜成路49号院,海淀,定慧寺,近地铁10号线西钓鱼台站,1
301,1111027374158,阜成路51号院,海淀,定慧寺,近地铁10号线西钓鱼台站,0
302,1111027374159,阜成路66号,海淀,定慧寺,近地铁6号线海淀五路居站,0
303,1111027374160,阜成路8号院,海淀,甘家口,近地铁9号线白堆子站,0
304,1111027374161,阜成路95号院,海淀,定慧寺,近地铁10号线西钓鱼台站,3
305,1111027374162,阜成路北三街11号院,海淀,甘家口,近地铁9号线白堆子站,0
306,1111027374163,阜成路北三街5号院,海淀,甘家口,近地铁9号线白堆子站,2
307,1111027374164,阜成路北三街7号院,海淀,甘家口,近地铁9号线白堆子站,0
308,1111027374166,阜成路甲3号,海淀,甘家口,近地铁9号线白堆子站,0
309,1111027374167,阜成路甲52号院,海淀,定慧寺,近地铁10号线西钓鱼台站,1
310,1111027374168,阜成路南二街甲2号院,海淀,甘家口,近地铁9号线白堆子站,0
311,1111027374169,阜成门北大街,西城,阜成门,近地铁2号线阜成门站,0
312,1111027374170,阜成门南大街,西城,月坛,近地铁2号线阜成门站,5
313,1111027374171,阜成门内大街,西城,官园,近地铁2号线阜成门站,0
314,1111027374172,阜成门外北街,西城,阜成门,近地铁2号线阜成门站,2
315,1111027374173,阜成门外北四巷,西城,阜成门,近地铁2号线阜成门站,2
316,1111027374174,阜成门外大街,西城,月坛,近地铁2号线阜成门站,2
317,1111027374175,阜成门外大街甲40号,西城,月坛,近地铁9号线白堆子站,0
318,1111027374176,阜成门外大街乙40号,西城,月坛,近地铁9号线白堆子站,0
319,1111027374177,非常生活,朝阳,双井,,2
320,1111027374183,芳草苑公寓,朝阳,朝阳门外,近地铁6号线东大桥站,0
321,1111027374187,富顿,朝阳,劲松,近地铁10号线劲松站,3
322,1111027374188,风度柏林,朝阳,大望路,近地铁7号线大郊亭站,22
323,1111027374195,枫丹丽舍,海淀,西三旗,近地铁8号线霍营站,4
324,1111027374196,复地西绒线26号,西城,西单,近地铁1号线西单站,0
325,1111027374197,方丹苑,朝阳,潘家园,,3
326,1111027374200,富尔大厦,朝阳,东大桥,近地铁10号线金台夕照站,0
327,1111027374203,粉房琉璃街,西城,陶然亭,近地铁7号线虎坊桥站,0
328,1111027374205,富国街,西城,西四,近地铁4号线平安里站,0
329,1111027374211,阜光里小区,海淀,甘家口,近地铁9号线白堆子站,9
330,1111027374212,富国里小区,西城,官园,近地铁1号线西单站,3
331,1111027374213,风格派,朝阳,亚运村小营,,11
332,1111027374215,梵谷水郡,朝阳,酒仙桥,,15
333,1111027374216,富贵园二区,东城,东花市,近地铁7号线广渠门内站,2
334,1111027374219,富贵园四区,东城,东花市,近地铁7号线广渠门内站,1
335,1111027374220,富贵园三区,东城,东花市,近地铁7号线广渠门内站,6
336,1111027374221,风格雅园,朝阳,望京,近地铁15号线望京站,0
337,1111027374222,富贵园一区,东城,东花市,近地铁7号线广渠门内站,4
338,1111027374224,凤凰城二期,朝阳,三元桥,近地铁机场线三元桥站,10
339,1111027374227,泛海国际樱海园,朝阳,朝阳公园,,3
340,1111027374228,泛海国际碧海园,朝阳,朝阳公园,,10
341,1111027374229,泛海国际澜海园,朝阳,朝阳公园,,1
342,1111027374230,泛海国际香海园,朝阳,朝阳公园,,8
343,1111027374231,方恒国际中心,朝阳,望京,近地铁14号线(东段)望京南站,7
344,1111027374232,枫桦豪景二期,西城,牛街,近地铁4号线菜市口站,2
345,1111027374233,枫桦豪景一期,西城,牛街,近地铁4号线菜市口站,0
346,1111027374234,防化局宿舍,海淀,清河,近地铁8号线永泰庄站,0
347,1111027374236,富华家园,朝阳,高碑店,近地铁6号线青年路站,8
348,1111027374239,法华南里,东城,崇文门,近地铁5号线天坛东门站,8
349,1111027374243,法华寺小区,海淀,魏公村,,1
350,1111027374244,富宏馨居,西城,六铺炕,,0
351,1111027374248,方华苑,朝阳,华威桥,近地铁10号线劲松站,5
352,1111027374249,丰和园,朝阳,太阳宫,近地铁机场线三元桥站,6
353,1111027374250,丰汇园小区,西城,金融街,近地铁1号线西单站,1
354,1111027374251,富海中心,海淀,白石桥,,2
355,1111027374252,方家村,朝阳,百子湾,,0
356,1111027374257,福建大厦,朝阳,安贞,,0
357,1111027374258,方家胡同,东城,交道口,近地铁2号线安定门站,0
358,1111027374265,风景线,朝阳,酒仙桥,近地铁14号线(东段)将台站,2
359,1111027374266,福景苑,朝阳,燕莎,近地铁10号线亮马桥站,5
360,1111027374267,芳嘉园胡同,东城,朝阳门内,近地铁2号线朝阳门站,3
361,1111027374269,复康南里,东城,天坛,,0
362,1111027374271,富力爱丁堡公馆,朝阳,三里屯,近地铁10号线团结湖站,4
363,1111027374272,富力城A区,朝阳,双井,近地铁10号线双井站,10
364,1111027374273,富力城B区,朝阳,双井,近地铁10号线双井站,2
365,1111027374274,富力城C区,朝阳,双井,近地铁10号线双井站,3
366,1111027374275,富力城D区,朝阳,双井,近地铁5号线磁器口站,12
367,1111027374276,富力城E区,朝阳,双井,近地铁7号线广渠门外站,2
368,1111027374281,枫蓝国际,海淀,小西天,,5
369,1111027374282,枫蓝国际写字楼,海淀,小西天,,0
370,1111027374283,富丽华园,朝阳,农展馆,近地铁14号线(东段)枣营站,2
371,1111027374286,风林绿洲,朝阳,南沙滩,近地铁8号线奥林匹克公园站,7
372,1111027374287,富力摩根中心,西城,陶然亭,近地铁7号线虎坊桥站,0
373,1111027374288,飞龙桥胡同,东城,西单,近地铁1号线天安门东站,0
374,1111027374290,富力桃园A区,海淀,西三旗,,11
375,1111027374291,富力桃园B区,海淀,西三旗,,3
376,1111027374292,富力桃园C区,海淀,西三旗,,18
