投诉日期,投诉编号,投诉问题,投诉诉求,详细说明,投诉对象
2020-11-07,17351254480,未履行14个工作日退还押金服务,"退款,赔偿,道歉,作出处罚","履行14天退还押金承诺。售后，人工永远联系不上
[投诉对象] 紫梧桐（北京）资产管理有限公司
[投诉问题]服务不到位,虚假宣传,价格问题
[投诉要求]退款,道歉,作出处罚
[涉诉金额] 1989元",紫梧桐
2020-10-22,17351119553,蛋壳公寓租户参与了活动返现到了14个工作日迟迟没有收到钱客服处于联系不上阶段,"退款,改善服务",作为蛋壳老租户参与了返现活动。2020年09月28日后14个工作日内没收到北京紫梧桐（蛋壳）公司的转账。今年取消了电话人工服务。蛋壳App上排队2小时也排不到客服联络。在线咨询人工客服排队人数高达200多~,紫梧桐
2020-10-27,17351159669,蛋壳紫梧桐退押金,"退款,赔偿,道歉,作出处罚",本人在蛋壳有租房，一年到期退房，押金说要到14个工作日才能返到绑定银行卡，但是迟迟未打款，9月26日退的房子，今天都10月27日了，打电话客服等了3个多小时也没接通客服电话。根本联系不到，合计金额2300元。麻烦尽快处理。,紫梧桐
2020-11-04,17351222413,紫梧桐北京资产管理有限公司,退款,本人属于房东违约强制让我们搬出，已经对我的资金分配造成了困扰。给管家打电话，管家表示对现在蛋壳现在的风评知情，并拒绝替我催款。客服永远在排队，合同解除后也无法在app内投诉。现虽没到所谓的7-14天打款日，但我属于被害者一方，所以我有充分的理由对蛋壳的打款进行催促。,紫梧桐
2020-11-09,17351267894,未按时付房东房租,按合同约定付房租,我在上海徐汇区桂江路77弄49号504室的房子委托给蛋壳公寓（紫梧桐（上海）公寓管理有限公司），10月26日应付房租时我没有收到房租。希望黑猫投诉能帮忙解决,紫梧桐
2020-11-04,17351229807,蛋壳公寓提现已超最大提现日期还未打款,退款,蛋壳公寓，隶属于紫梧桐（北京）资产管理有限公司，我于10月12日在蛋壳APP进行提现，今天11月4号还未打款，APP内说明14日内打款，今天已经23天，我查询后发现还未打款，我银行信息无误,紫梧桐
2020-11-11,17351289984,说好退返租金却拐弯抹角的糊弄,"退款,赔偿",我与蛋壳公寓平台下的紫梧桐公司签订一年房租租赁合同，并在蛋壳平台工作人员的劝说下一次性缴纳了一年的房租。由于工作变动我与蛋壳平台解除了房租租赁合同，经蛋壳公寓平台核算紫梧桐公司应退给我10478.78元房租。但是蛋壳平台并未遵守在承诺的14和工作日内退款，以后我与蛋壳公寓平台的客服人员5次反馈退款未达问题，...,紫梧桐
2020-11-04,17351223114,蛋壳公寓退租款项提现超过14个工作日仍不退回,立刻退款,本人2020年6月在北京蛋壳公寓租住一年，地点是北京市通州区东潞苑104号楼3单元402，合同号为BJGYCBJE20061615***，因工作变动退租，剩余款项11240.31元返还至蛋壳app，10月12日发起提现，提现过程中被提醒7至14个工作日内返还到银行卡，先已11月14日，超出14个工作日仍未返还，期间联系蛋壳客服催促两次，客服称会有工作...,紫梧桐
2020-10-26,17351144996,蛋壳公寓退租问题,退款,"我于2019年在蛋壳公寓app（南京紫梧桐公寓管理有限公司）上租房一年并缴纳押金1590元，于2020年8月16日在蛋壳公寓app（南京紫梧桐公寓管理有限公司）上续租公寓半年，缴纳房租9540元。
10月18日，该房屋房主在房屋门口张贴告示将于10月24日0点更换房所并收回房屋。我立即联系蛋壳公寓方面，被蛋壳管家要求无责换租或退租...",紫梧桐
2020-11-13,17351312654,紫梧桐上海公寓管理有限公司与其签署租房合同到期解除后押金未退还,退款,紫梧桐（上海）公寓管理有限公司，与其2019年7月份在蛋壳公寓APP上签署租房合同，到2020年8月份合同到期解除后押金剩余2454.41元未退还，于2020年10月22日蛋壳公寓APP上提现告知7-14个工作日退款，至今未收到，现无法联系官方,紫梧桐
2020-11-13,17351313300,蛋壳公寓未按合同按期支付应付账款涉嫌拖欠房东租金且拒绝按合同支付租金,"赔偿,道歉","合同编号：BJGYSBJE19075998***
签约方：紫梧桐（北京）资产管理有限公司
2020年10月25日应付款35193元，但至今日已经延迟支付租金15个工作日，还需要支付违约金，即两个月租金共计两万多元。
目前蛋壳公寓已经无法支付，本人要求解除合同，并支付所有拖欠款项（共计5万多元）。",紫梧桐
2020-10-22,17351121202,紫梧桐北京资产管理有限公司蛋壳公寓,赔偿,本人于9月底换租到现在所住的蛋壳公寓，蛋壳公寓承诺每个月都会有月度双重保洁上门服务，且服务费内包含每月两次的保洁费用。但是十月份，截止到目前为止（2020.10.22）只能在蛋壳公寓上看到一次派单，月度双重保洁服务变成了一次。蛋壳公寓以为了国庆期间不打扰住户为由且在没有提前通知住户的情况下私自取消了一次保洁...,紫梧桐
2020-11-02,17351202017,蛋壳公寓天津紫梧桐公寓管理有限公司,退款,10月4日提现不到账，超过规定时效14天，要求即刻退款,紫梧桐
2020-10-18,17351082220,蛋壳公寓退租不仅不退款还要补交钱,"作出处罚,全额退款",本人于2020.9.12在蛋壳公寓租的房子，因时间原因视频看房，租下房子后，因本人是应届生，所以免押金，9.12交了第一个与房租加服务费管理费共3164元，转账给紫梧桐（北京）资产管理有限公司，因个人原因9.12-10.14没过去住，10.14号告知管家要搬过去住，让其给做保洁，10.15搬过去后，卫生条件不符合住人条件，本人当天搬...,紫梧桐
2020-10-27,17351157988,蛋壳公寓紫梧桐北京资产管理有限公司,"退款,赔偿,作出处罚,道歉,解释,改善服务",与蛋壳公寓签订一年期租房合同到期退租，租房押金1333.12元加到期活动返现785元总计2118.12元超期未打款。蛋壳公寓涉嫌挪用租客资金，未按合同7-14个工作日打款，严重失信。,紫梧桐
2020-10-29,17351172806,紫梧桐北京资产管理有限公司不给租客退款,退款,APP上说的是14个工作日内将退款提现到银行卡上，可是已经过了14个工作日了，居然还是无法提现。昨晚12点客服电话也不给积极解决问题。每次打电话都需要1个小时才有人接，而且我加入了投诉维权群，群里有77个人跟我有同样的情况，希望媒体能尽快介入调查,紫梧桐
2020-11-10,17351277023,紫梧桐北京资产管理有限公司不退租押金,立刻退还租房押金,本人由10月9日正常退租并提交退押金申请，无任何违约行为，蛋壳公寓会在7-14个工作日返还押金，但目前一直未退款共计3154，多次电话联系蛋壳公寓不给解决，请求帮助。,紫梧桐
2020-11-11,17351295344,紫梧桐北京资产管理有限公司不给活动返现,退款,蛋壳公司，工商营业号为91110101327313***G，蛋壳租房做的活动，每个月给租户返现，现在不给我返现了,紫梧桐
2020-10-28,17351167942,紫梧桐北京资产管理有限公司违反合同约定,按合同每月返现327,违反租房时的合同约定，按月返现327元。共十个月。,紫梧桐
2020-10-29,17351176055,蛋壳公寓紫梧桐说好正常活动返现但是没有执行,进行正常的活动返现,"本人租蛋壳公寓按照合同，应正常活动返现，
根据租房合同内容，住满三个月应该正常返现房租的20%，也就是应该在10月27号之前（7到14个工作日内）进行活动返现，但是到今天29号还没有返现",紫梧桐
2020-10-23,17351128965,蛋壳公寓紫梧桐北京资产管理有限公司,"退款,赔偿,道歉,解释,改善服务",上个月的返现9.25返现，超过14个工作日迟迟未返现到账！涉嫌欺诈！客服不回复！态度恶劣！,紫梧桐
2020-11-15,17351337187,南京紫梧桐公寓管理有限公司蛋壳公寓退房后不退押金,"退款,道歉",本人与2019年9月27日与南京紫梧桐公寓管理有限公司（以下简称该公司）签订租房合同，租期一年，并交付押金1740元，合同规定退租后在扣除应结算账单后将押金退还于我。我于2020年9月27日退房后，该公司服务人员承诺于7至14个工作日将押金返还到账，但9月27至今天11月15已经过去近两个月了，远超承诺退还期限，我打售后管...,紫梧桐
2020-10-26,17351146670,蛋壳公寓违约不退房租,退款,"我于2019年在蛋壳公寓app（南京紫梧桐公寓管理有限公司）上租房一年并缴纳押金1590元，于2020年8月16日在蛋壳公寓app（南京紫梧桐公寓管理有限公司）上续租公寓半年，缴纳房租9540元。
10月18日，该房屋房主在房屋门口张贴告示将于10月24日0点更换房所并收回房屋。我立即联系蛋壳公寓方面，被蛋壳管家要求无责换租或退租...",紫梧桐
2020-11-15,17351325984,投诉蛋壳公寓及紫梧桐北京资产管理有限公司逾期违约不返款骗取高额服务费,"退款,赔偿,改善服务",投诉蛋壳公寓app及紫梧桐北京资产管理有限公司逾期违约不返款，九月投诉已经完成，现投诉十月返现逾期未返现，客服拒不处理，骗取高额服务费，骗取每个月租金10%的服务费，但是未按照承诺提供每月两次的保洁，报修也不处理，客服推诿责任，敷衍不处理,紫梧桐
2020-10-28,17351167576,到期退租不退押金要求退款,"退款,道歉",本人于2019年9月27日租上海紫梧桐公寓管理公司，蛋壳公寓下，大连西路1号楼2008室公寓，到2020年9月27日合约期满，于28日从蛋壳公寓钱包提现到银行卡。解约押金说14个工作日退款，到现在都未到账，现在管家，售后都联系不上，投诉建议提交一次后也没反应。,紫梧桐
2020-11-05,17351234999,蛋壳公寓欺骗消费者活动返现不打款不履行承诺,"退款,赔偿",本人与紫梧桐（北京）资产管理有限公司也就是蛋壳公寓，在2020年4月签订为期一年的房屋租赁合同，蛋壳公寓承诺签订租期一年，住满半年，返现月租金的20%，也就是540元，本应10月28号收到返现，但至今没有收到，并且联系不上管家及相关客服人员。,紫梧桐
2020-11-07,17351251166,蛋壳公寓紫梧桐北京资产管理有限公司,赔偿,从2020-10-19日提现，到2020-11-6日，14个工作日未到账。现要求公司做出违约赔偿。,紫梧桐
2020-11-10,17351284532,紫梧桐资产管理有限公司旗下蛋壳公寓,退款,我在2020年10月9日从蛋壳公寓退租，9号发起了提现操作，官方给出的时间是14个工作日到账，现在已经超过20个工作日，还没有到账，在这期间多次联系客服，客服回复会有专人联系，至今未联系，诉求是快点退回属于我的押金。,紫梧桐
2020-11-15,17351338915,蛋壳公寓紫梧桐北京资产管理有限公司,继续履行合同或退钱,该公司无法履行合同，房东来上门强行收回房子，赶租客出门，但是我已经将一年的房租通过他们平台的微众银行贷款一次性付给了蛋壳，希望蛋壳可以出面解决，继续履行合同或是退钱解除合同都可以,紫梧桐
2020-11-04,17351223063,蛋壳公寓退租金推延客服不理人甲方南京紫梧桐公寓管理有限公司,"退款,解释",2020.7，8号和蛋壳公寓租房人员签订一年合同，甲方，南京紫梧桐公寓管理有限公司，2020.10.13日退租，管家扣除违约金剩余2491元到蛋壳app钱包，提现说明14个工作日到个人银行卡，至今2020.11.4日未收到退款金额，2020.10.29在蛋壳app投诉建议，客服一直不处理，客服电话打不通，负责人电话不接，请求处理,紫梧桐
2020-10-12,17351014829,蛋壳公寓莫名其妙断网一个多月未修复,"作出处罚,维修,解约",紫梧桐（北京）资产管理有限公司即蛋壳公寓；2020年8月底莫名断网，未及时通知租户。租户多次在APP中请维修，蛋壳公寓APP后台自动取消租户的报修，并且没有知会租户。租户一连报修多次都被后台自动取消。后来由于租户投诉，蛋壳公寓短信通知租户在9月15日前恢复网络，但9月15日仍未恢复，蛋壳再次拖延，短信通知9月30日...,紫梧桐
2020-10-26,17351145006,紫梧桐北京资产管理有限公司蛋壳公寓退租不退押金,退款,2020年9月28号退租，截止2020年10月26日未收到租房押金2021.8元，蛋壳客服联系不上，处于失联状态，蛋壳公寓存在巨大跑路风险，北京乃至全国几十万蛋壳公寓租户全部存在此类情况，如果一旦蛋壳公寓崩盘，几十万租客损失巨大，极容易引发社会矛盾和社会问题，请关注。,紫梧桐
2020-11-12,17351300936,北京紫梧桐公司蛋壳公寓不履行合同承诺且联系不上平台客服,"退款,赔偿,作出处罚",本人于2020年五月在蛋壳公寓上整租一套房，从九月开始平台承诺的月度双次保洁就不按时上门了，十月起至今一次未来，并且与平台多次联系无果，且经常性联系任何客服和管理人员，请求补齐保洁次数，履行承诺，或退还费用并进行额外补偿,紫梧桐
2020-10-28,17351163459,蛋壳公寓紫梧桐上海公寓有限公司未付款房租,付款或解除合同,应该在2020年10月27日付款的房租，没有打款。要求蛋壳公寓履行合约，要么立刻解除合同，赔偿我违约金，并把房子恢复原状。电话一直联系不到蛋壳公寓工作人员。,紫梧桐
2020-11-13,17351311227,按约退租紫梧桐北京资产管理有限公司未退还押金及返现,退款,10月20日按照合同日期退租，蛋壳公寓至今未返还押金1870.58元及活动返现473元,紫梧桐
2020-10-28,17351153825,紫梧桐上海公寓管理有限公司即蛋壳公寓未按时支付房租,立刻支付拖欠的房租,"我位于上海市徐汇区康健路25弄24号307室的房屋和紫梧桐（上海）公寓管理有限公司（即：蛋壳公寓）签订了期限为2018.11.26-2022.2.8日，月租金5069元的租房协议，约定三个月为一期。在2020.10.25日应收到房租15207元，至今未收到。
微信公众号联系，让我进入个人页面再联系客服，但是进入后根本没有客服。
打客服电话，只...",紫梧桐
2020-10-23,17351125610,紫梧桐北京资产管理有限公司拖欠租户押金,退款,押金退款未到账，据贵公司办理业务时签署的相关合同和退回押金的时效规定，贵公司欠款的行为已构成严重违约，侵犯了我的合法权益，已构成欺诈性质。请于24小时内结清我的押金，否则本人有权依法向司法单位提起民事诉讼，请求判令您清偿全部欠款及由此产生的律师费、诉讼费。,紫梧桐
2020-11-05,17351233996,南京紫梧桐公寓管理有限公司蛋壳公寓不予退款提现不打款,退款,我于10月19日发起余额提现，蛋壳公寓说7—14个工作日到账，但是过去18天了还没付款。,紫梧桐
2020-10-29,17351167977,投诉紫梧桐资产管理有限公司蛋壳公寓断租户网络打电话给运营商得知已注销宽带,"赔偿,维修",投诉紫梧桐资产管理有限公司（蛋壳公寓）断租户网络，打电话给运营商得知已注销宽带账户，在蛋壳公寓app内点维修、联系管家、投诉均被取消，商家客服电话打不通，期间我们服务费正常缴纳。租房地址：上海市徐汇区亚都国际名园1号楼201。要求蛋壳公寓立刻回复网络供应网络并且电话联系我给个说法！,紫梧桐
2020-10-29,17351173848,紫梧桐北京资产管理有限公司旗下蛋壳公寓定金不退还联系不到客服,退款,2020年10月19日在安居客发布租房，蛋壳公寓工作人员联系我，当天晚上去带我看房，房子看好并付下300元定金，当时蛋壳工作人员跟我说定金付过，签署电子租赁合同，有个审核过程，如果审核不通过，定金退还，我说好的，2020年10月20日下午审核结果未过，定金300元一直未退，联系蛋壳APP在线客服，都是机器人未解决问题，打...,紫梧桐
2020-10-31,17351187159,紫梧桐北京资产管理有限公司蛋壳公寓拖欠租房退租款,退款,本人于2020年10月12日在紫梧桐（北京）资产管理有限公司运营下的蛋壳公寓app申请退租提现，按照该公司的说法规定，7-14个工作日会完成提现，可截止到今天2020年10月31日已满14个工作日，19个自然日，仍未收到退款，在该公司运营的蛋壳公寓app下做了投诉，微博的蛋壳公寓客服做了投诉均未收到回复。希望借黑猫投诉渠道，...,紫梧桐
2020-11-11,17351298535,南京紫梧桐公寓管理有限公司客服不接电话维修不处理退租不处理,"退款,改善服务,解释,维修",房租11.26号到期，目前正处于租房中，马桶坏了，无人维修，保洁未做，提交退租无人处理，客服电话不接,紫梧桐
2020-10-29,17351167977,投诉紫梧桐资产管理有限公司蛋壳公寓断租户网络打电话给运营商得知已注销宽带,"赔偿,维修",投诉紫梧桐资产管理有限公司（蛋壳公寓）断租户网络，打电话给运营商得知已注销宽带账户，在蛋壳公寓app内点维修、联系管家、投诉均被取消，商家客服电话打不通，期间我们服务费正常缴纳。租房地址：上海市徐汇区亚都国际名园1号楼201。要求蛋壳公寓立刻回复网络供应网络并且电话联系我给个说法！,紫梧桐
2020-11-11,17351285834,投诉蛋壳公寓紫梧桐北京资产管理有限公司未履行合同,退款,蛋壳公寓合同内容要求甲方（蛋壳）承担维修室内家电的责任，乙方承担每月的服务费用，但目前由于蛋壳公寓不给维修工发工资，导致维修工不上门维修，违反合同约定，要求蛋壳返还押金并退还未使用租金,紫梧桐
2020-11-03,17351217424,紫梧桐北京资产管理有限公司即蛋壳公寓退租不退押金,退款,本人于2019年10月31日入住蛋壳公寓，一次性年交房租27025.00元，加押金2350元及服务费等共交29903元，于2020年10月1日提出退租，该公寓称将在申请退租7日后退租，故10月7日成功退房，应退押金2350元及提前退租未产生的住宿费用等共3935.82元，我于10月10日提现，合同承诺将于提现后14个工作日内打款到卡上，目前超期将近...,紫梧桐
2020-11-14,17351322219,北京紫梧桐公司名下蛋壳公寓不履行合同,"退款,解除合约",我于2020年5月份和蛋壳公寓签订长期租房合同，并一-次性交付房租和押金共两万多元。 合同明确规定，每个月会有各项服务和每个月会返还一部分房租，但是于2020年十月份，蛋壳公寓单方面不履行合约，还继续收取我服务费和其他费用，不再返还房租，并不再提供服务。现因为蛋壳公寓单方面不履行合约，我希望能够和蛋壳解除合...,紫梧桐
2020-11-10,17351279528,蛋壳公寓紫梧桐北京资产管理有限公司不退房租,"退款,赔偿",我于2020年9月24日从蛋壳公寓退租，25号发起了提现操作，官方给的时间是14个工作日提现到账，但是到今天已经一个半月过去了，依然没有到账，拨打了12315和12345最终北京朝阳门所给了蛋壳苏州负责人的电话，对方表示只能等，目前这个负责人的电话已经是空号，不知道为什么会是这个结果，后面拨打蛋壳公寓客服，他们说48小...,紫梧桐
2020-11-12,17351309046,退租蛋壳公寓后剩余房租长时间不退款,退款,本人于2020年7月11日与紫梧桐（北京）资产管理有限公司旗下蛋壳公寓签约北京回龙观村房屋，一次性年付租金加服务费29700元，现已于2020那年10月27日退租，结算剩余房租共计18344.65元，至今（2020年11月12日）提现仍未到账，蛋壳公寓恶意拖欠租户租金，拒绝支付的行为十分恶劣。本人的诉求是蛋壳公寓尽快返还剩余房租！...,紫梧桐
2020-11-12,17351304177,退租押金不按时退还,退款,本事与紫梧桐(北京)资产管理有限公司旗下的蛋壳公寓签订的租房协议于2020年10月15日到期，本人于10月16日申请的退租，然后蛋壳公寓管家进行了退租结算，租金2020元扣除电费后还剩1868.29元，蛋壳公寓将剩余的钱款打到蛋壳公寓APP中的钱包里，我于10月17日进行提现，蛋壳公寓告知提现后7-14个工作日到账，但是今天已经11...,紫梧桐
2020-11-12,17351300585,紫梧桐北京资产管理有限公司旗下产品蛋壳公寓退款问题,"退款,改善服务",在蛋壳公寓，不在续租后，工作人员明确告知有1170元可进行退款，在APP内就能进行提现，提现到账时间为14个工作日，本人在10月11日操作提现，11月份还没有到账信息，第二次联系客服人员，告知会在48小时内安排工作人员进行处理，并且联系我，48小时过后仍然没有得到回复电话，后续多次拨打工作人员均与这个借口告知，会安...,紫梧桐
2020-10-27,17351155439,紫梧桐北京资产管理公司既蛋壳公寓未给房东租金导活动返现一直未打款,"退款,赔偿,作出处罚,道歉","投诉单位：紫梧桐（北京）资产管理有限公司，对外的租房app蛋壳公寓
今年6月20日在蛋壳公寓上租了房，但是蛋壳公寓本季度并未支付租金给房东，导致房东本月上门告知我们要收房，让我们月底搬走，询问蛋壳的管家，声称已经打款，但房东并未收到，如果我在蛋壳公寓上提交退租，反而要收我押金。另外蛋壳公寓的返现一直未到...",紫梧桐
2020-10-28,17351167706,尽快退款不要欺骗老百姓,"退款,道歉",当时这边签约合同上是紫梧桐公寓有限管理公司，电话空号，名字没这个人，名牌，当时租的蛋壳，蛋壳公寓也不管，钱也不给退，也不提现到账，一年合同到期，希望黑猫平台尽快退款，客服处理不了问题，打电话打三四十分钟才能有客服接通，就会一句话，帮你反馈，反馈结果就是没任何电话，让蛋壳来电话，也没人来电话，不管...,紫梧桐
2020-11-02,17351205335,紫梧桐北京资产管理有限公司蛋壳公寓活动返现未按约支付无法联系到客服,退款,"2020年8月1日和紫梧桐(北京)资产管理有限公司（蛋壳公寓）签订租赁协议签订协议书约定每月返还月租赁费用10%,但现在已超支付时效，一直未到账，联系在线客户一直提示忙线，电话客服无法转接人工，现要求支付每月返现金额或解除合约，退还押金。（本人账号正确无误，每月平台可以正常扣取租金）",紫梧桐
2020-10-26,17351136382,蛋壳公寓再次拖欠房租,立即履约支付房租,2019年4月18日本人将位于嘉定秋竹路655弄17号楼203的房屋租给蛋壳公寓（紫梧桐（上海）管理有限公司），每月17号为应付租金日，至今未收到本月租金，也未接到对方延迟付款的信息，对方4001******客服电话永远打不通，等待接通十几分钟后就被自动挂断，永远找不到人工客服，400电话语音提示在蛋壳公寓微信公众号或APP上寻...,紫梧桐
2020-11-04,17351226928,联系不到客服投诉无果,"退款,道歉",本人4月29日与蛋壳公寓租房，地址为北京市首经贸中街一号院9号楼601，10月10日因个人原因退房，蛋壳公寓管家结算退租金额为16253.37元，本人于10月12日从蛋壳公寓app上提现，至今未到账，联系客服均无回复，我现在要求蛋壳公寓立即按我提交的银行卡信息打款，否则我将集合所有维权租客集体向法院申请对紫梧桐资产管理有...,紫梧桐
2020-11-15,17351338641,紫梧桐北京资产管理公司即蛋壳公寓未给房东租金导致房东要收房活动返现未打款,"退款,赔偿,作出处罚,道歉",紫梧桐（北京）资产管理有限公司，对外的租房app蛋壳公寓 今年7月29日在蛋壳公寓上租了房，签的到2月9日的合约，我的房租是一次性付清的。但是蛋壳公寓本季度并未支付租金给房东，导致房东今日上门告知我们要收房，让我们搬走。如果我在蛋壳公寓上提交退租，反而要收我押金。另外蛋壳公寓的返现一直未到账，已超过合同约...,紫梧桐
2020-10-27,17351155439,紫梧桐北京资产管理公司既蛋壳公寓未给房东租金导活动返现一直未打款,"退款,赔偿,作出处罚,道歉","投诉单位：紫梧桐（北京）资产管理有限公司，对外的租房app蛋壳公寓
今年6月20日在蛋壳公寓上租了房，但是蛋壳公寓本季度并未支付租金给房东，导致房东本月上门告知我们要收房，让我们月底搬走，询问蛋壳的管家，声称已经打款，但房东并未收到，如果我在蛋壳公寓上提交退租，反而要收我押金。另外蛋壳公寓的返现一直未到...",紫梧桐
